t_ms,id,x,y,vx,vy,v,x_plus_1,y_plus_1
225250,38,0.262286,2.334286,0.932571,0.466286,1.042647,NaN,NaN
225500,38,0.272000,2.781143,0.038857,1.787429,1.787851,NaN,NaN
225750,38,0.524571,3.121143,1.010286,1.360000,1.694189,NaN,NaN
230250,39,0.369143,2.538286,-0.582857,-1.224000,1.355691,0.680000,1.790286
230500,39,0.291429,2.305143,-0.310857,-0.932571,0.983017,1.058857,1.838857
230750,39,0.213714,2.062286,-0.310857,-0.971429,1.019954,NaN,NaN
231000,39,0.378857,1.887429,0.660571,-0.699429,0.962058,NaN,NaN
231250,39,0.680000,1.790286,1.204571,-0.388571,1.265694,NaN,NaN
231500,39,1.058857,1.838857,1.515429,0.194286,1.527832,NaN,NaN
236250,40,1.408571,1.664000,-1.865143,0.466286,1.922545,0.213714,1.994286
236500,40,1.204571,1.858286,-0.816000,0.777143,1.126857,0.019429,2.140000
236750,40,1.126857,1.800000,-0.310857,-0.233143,0.388571,-0.369143,2.363429
237000,40,0.573143,2.023429,-2.214857,0.893714,2.388371,NaN,NaN
237250,40,0.213714,1.994286,-1.437714,-0.116571,1.442432,-0.689714,2.868571
237500,40,0.019429,2.140000,-0.777143,0.582857,0.971429,-1.301714,3.402857
237750,40,-0.369143,2.363429,-1.554286,0.893714,1.792911,NaN,NaN
238250,40,-0.689714,2.868571,-0.641143,1.010286,1.196554,NaN,NaN
238500,40,-1.301714,3.402857,-2.448000,2.137143,3.249628,NaN,NaN
250250,43,-1.311429,1.343429,0.505143,-0.155429,0.528514,-0.456571,1.664000
250500,43,-1.262857,1.333714,0.194286,-0.038857,0.198133,-0.369143,1.615429
250750,43,-1.126857,1.489143,0.544000,0.621714,0.826114,-0.369143,1.644571
251000,43,-0.709143,1.537714,1.670857,0.194286,1.682115,0.106857,1.314286
251250,43,-0.456571,1.664000,1.010286,0.505143,1.129534,NaN,NaN
251500,43,-0.369143,1.615429,0.349714,-0.194286,0.400059,NaN,NaN
251750,43,-0.369143,1.644571,0.000000,0.116571,0.116571,NaN,NaN
252000,43,0.106857,1.314286,1.904000,-1.321143,2.317463,NaN,NaN
262750,45,0.592571,2.849143,-0.272000,-0.777143,0.823368,NaN,NaN
263000,45,0.534286,2.946286,-0.233143,0.388571,0.453148,1.748571,1.683429
263250,45,0.864571,2.305143,1.321143,-2.564571,2.884865,NaN,NaN
263500,45,1.292000,1.984571,1.709714,-1.282286,2.137143,NaN,NaN
264000,45,1.748571,1.683429,0.913143,-0.602286,1.093882,NaN,NaN
268500,46,0.874286,2.130286,-1.670857,-0.038857,1.671309,0.476000,2.052571
268750,46,0.650857,1.994286,-0.893714,-0.544000,1.046261,0.466286,2.072000
269000,46,0.553714,2.033143,-0.388571,0.155429,0.418504,0.408000,2.033143
269250,46,0.495429,2.072000,-0.233143,0.155429,0.280203,0.446857,2.033143
269500,46,0.476000,2.052571,-0.077714,-0.077714,0.109905,0.485714,1.994286
269750,46,0.466286,2.072000,-0.038857,0.077714,0.086887,0.466286,2.004000
270000,46,0.408000,2.033143,-0.233143,-0.155429,0.280203,0.485714,1.994286
270250,46,0.446857,2.033143,0.155429,0.000000,0.155429,0.456571,2.052571
270500,46,0.485714,1.994286,0.155429,-0.155429,0.219809,0.427429,2.081714
270750,46,0.466286,2.004000,-0.077714,0.038857,0.086887,0.427429,2.062286
271000,46,0.485714,1.994286,0.077714,-0.038857,0.086887,0.359429,2.033143
271250,46,0.456571,2.052571,-0.116571,0.233143,0.260662,0.301143,2.013714
271500,46,0.427429,2.081714,-0.116571,0.116571,0.164857,0.281714,1.984571
271750,46,0.427429,2.062286,0.000000,-0.077714,0.077714,0.165143,1.906857
